Wavelengths,G10
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,5.368128149231836e-05
532,0.00016877225201607132
533,0.00019134280559702211
534,1.5922431429142968e-05
535,0.0
536,0.0
537,0.0
538,1.1958672529057216e-05
539,6.152339123031433e-06
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.00017352455666494725
546,8.839891868341155e-05
547,0.0
548,0.0
549,0.0001866803880864204
550,0.00022219230941029094
551,5.575565776689696e-05
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.00024126083168840616
559,0.000270487112952122
560,0.00017647132008802012
561,0.0
562,0.0
563,0.0
564,4.434628834656832e-05
565,0.00018949633901898654
566,0.0003853103147989761
567,0.0005258599811233238
568,0.0003062874654663999
569,1.9041043209153198e-05
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.00010540110020057354
576,5.717642279556515e-05
577,0.0
578,6.662519740527251e-05
579,2.812777724299301e-05
580,3.285841603817131e-05
581,6.71444606477032e-05
